2026-08-18T15:49:40.318105,"$GNGGA,101940.40,2829.4271387,N,07704.7542001,E,1,13,0.7,276.910,M,-40.665,M,0.0,*7B"
2026-08-18T15:49:40.497493,"$GNGGA,101940.60,2829.4271210,N,07704.7541836,E,1,14,0.7,276.922,M,-40.665,M,0.0,*7F"
2026-08-18T15:49:40.800135,"$GNGGA,101940.80,2829.4271075,N,07704.7541696,E,1,14,0.7,276.928,M,-40.665,M,0.0,*7E"
2026-08-18T15:49:41.095492,"$GNGGA,101941.20,2829.4270904,N,07704.7541588,E,1,13,0.8,276.942,M,-40.665,M,0.0,*73"
2026-08-18T15:49:41.320974,"$GNGGA,101941.40,2829.4270780,N,07704.7541528,E,1,13,0.8,276.936,M,-40.665,M,0.0,*7E"
2026-08-18T15:49:41.500066,"$GNGGA,101941.60,2829.4270814,N,07704.7541502,E,1,14,0.7,276.933,M,-40.665,M,0.0,*7B"
2026-08-18T15:49:41.697212,"$GNGGA,101941.80,2829.4270974,N,07704.7541609,E,1,14,0.7,276.922,M,-40.665,M,0.0,*7A"
2026-08-18T15:49:41.900673,"$GNGGA,101942.00,2829.4270963,N,07704.7541646,E,1,15,0.7,276.912,M,-40.665,M,0.0,*7E"
2026-08-18T15:49:42.095389,"$GNGGA,101942.20,2829.4271009,N,07704.7541679,E,1,16,0.7,276.924,M,-40.665,M,0.0,*72"
2026-08-18T15:49:42.309187,"$GNGGA,101942.40,2829.4271110,N,07704.7541804,E,1,15,0.7,276.898,M,-40.665,M,0.0,*7C"
2026-08-18T15:49:42.495331,"$GNGGA,101942.60,2829.4270991,N,07704.7541652,E,1,13,0.7,276.924,M,-40.665,M,0.0,*73"
2026-08-18T15:49:42.690902,"$GNGGA,101942.80,2829.4270929,N,07704.7541661,E,1,15,0.7,276.918,M,-40.665,M,0.0,*77"
2026-08-18T15:49:42.901143,"$GNGGA,101943.00,2829.4270798,N,07704.7541568,E,1,14,0.7,276.908,M,-40.665,M,0.0,*70"
2026-08-18T15:49:43.097276,"$GNGGA,101943.20,2829.4270697,N,07704.7541475,E,1,15,0.7,276.904,M,-40.665,M,0.0,*7C"
2026-08-18T15:49:43.321207,"$GNGGA,101943.40,2829.4270709,N,07704.7541475,E,1,16,0.7,276.877,M,-40.665,M,0.0,*7A"
2026-08-18T15:49:43.513606,"$GNGGA,101943.60,2829.4270771,N,07704.7541457,E,1,16,0.7,276.889,M,-40.665,M,0.0,*76"
2026-08-18T15:49:43.692759,"$GNGGA,101943.80,2829.4270712,N,07704.7541449,E,1,16,0.7,276.868,M,-40.665,M,0.0,*7D"
2026-08-18T15:49:43.963638,"$GNGGA,101944.00,2829.4270036,N,07704.7540276,E,1,14,0.8,277.076,M,-40.665,M,0.0,*73"
2026-08-18T15:49:44.116001,"$GNGGA,101944.20,2829.4269486,N,07704.7539487,E,1,15,0.8,277.261,M,-40.665,M,0.0,*75"
2026-08-18T15:49:44.373362,"$GNGGA,101944.40,2829.4269041,N,07704.7538949,E,1,15,0.8,277.421,M,-40.665,M,0.4,*74"
2026-08-18T15:49:44.550483,"$GNGGA,101944.60,2829.4268493,N,07704.7538527,E,1,15,0.8,277.550,M,-40.665,M,0.4,*7F"
2026-08-18T15:49:44.721231,"$GNGGA,101944.80,2829.4267967,N,07704.7538187,E,1,16,0.8,277.683,M,-40.665,M,0.4,*78"
2026-08-18T15:49:44.908462,"$GNGGA,101945.00,2829.4267638,N,07704.7538026,E,5,15,0.8,277.733,M,-40.665,M,0.4,3553*73"
2026-08-18T15:49:45.095785,"$GNGGA,101945.20,2829.4267622,N,07704.7538036,E,5,16,0.8,277.739,M,-40.665,M,0.4,3553*72"
2026-08-18T15:49:45.321127,"$GNGGA,101945.40,2829.4267540,N,07704.7538027,E,5,16,0.8,277.786,M,-40.665,M,0.4,3553*77"
2026-08-18T15:49:45.499754,"$GNGGA,101945.60,2829.4267560,N,07704.7538190,E,5,13,0.8,277.800,M,-40.665,M,0.4,3553*7E"
2026-08-18T15:49:45.696505,"$GNGGA,101945.80,2829.4267569,N,07704.7538262,E,5,15,0.8,277.792,M,-40.665,M,0.4,3553*75"
2026-08-18T15:49:45.896635,"$GNGGA,101946.00,2829.4267385,N,07704.7538245,E,5,15,0.8,277.811,M,-40.665,M,0.4,3553*7B"
2026-08-18T15:49:46.100380,"$GNGGA,101946.20,2829.4267265,N,07704.7538238,E,5,16,0.8,277.827,M,-40.665,M,0.4,3553*7A"
2026-08-18T15:49:46.326190,"$GNGGA,101946.40,2829.4267182,N,07704.7538280,E,5,16,0.8,277.823,M,-40.665,M,0.4,3553*71"
2026-08-18T15:49:46.495391,"$GNGGA,101946.60,2829.4267112,N,07704.7538328,E,5,15,0.8,277.816,M,-40.665,M,0.4,3553*7C"
2026-08-18T15:49:46.709232,"$GNGGA,101946.80,2829.4267092,N,07704.7538402,E,5,15,0.8,277.795,M,-40.665,M,0.4,3553*70"
